uid,nombre,nacimiento,correo,nacionalidad
0,Oswaldo Zedillo,1966-03-16 00:00:00,elsa31@gmail.com,SALVADOREÑA
1,Mtro. Aldo Ibarra,1980-05-18 00:00:00,angel91@hotmail.com,SALVADOREÑA
2,Micaela Padrón,1967-11-21 00:00:00,granadoshumberto@gmail.com,ITALIANA
3,Manuel Castro,1992-05-09 00:00:00,nunezgloria@gmail.com,ARGENTINA
4,Alicia Cristal Ocasio Ramírez,2017-01-31 00:00:00,salma86@yahoo.com,SALVADOREÑA
5,Rosario Arce Montaño,1951-10-02 00:00:00,dulce-mariamadera@gmail.com,GUYANESA
6,Flavio Aguirre,1994-12-20 00:00:00,sergio96@gmail.com,YUGOSLAVA
7,Cristal Gaona Vázquez,1984-09-28 00:00:00,yteran@hotmail.com,LIBIA
8,Itzel Madrid Tello,1971-04-15 00:00:00,yquesada@hotmail.com,BIRMANA
9,Nancy Perales,1976-10-13 00:00:00,aguileramariana@gmail.com,GUINEA
10,Mtro. Eugenio Villanueva,2007-08-04 00:00:00,gabriel75@hotmail.com,TURCA
11,José María Varela,1974-02-13 00:00:00,cristobalsanchez@gmail.com,GAMBIANA
12,Ignacio Almanza Velásquez,1972-07-18 00:00:00,aureliomondragon@gmail.com,SINGAPORENSE
13,Lourdes Méndez,1962-05-30 00:00:00,palmanza@gmail.com,TANZANIANA
14,Nayeli Bernardo Tamez Calderón,2008-09-11 00:00:00,anguianogregorio@yahoo.com,ESTADOUNIDENSE
15,Emiliano Gerardo Muñoz,1980-05-17 00:00:00,arturonegrete@hotmail.com,AUSTRALIANA
16,Horacio Graciela Quesada,2002-07-21 00:00:00,rodrigomaestas@yahoo.com,ZAMBIANA
17,Sofía Mónica Mayorga,1950-10-04 00:00:00,rufinoalfaro@yahoo.com,SOVIETICA UCRANIANA
18,Carla Jaramillo Garibay,1983-09-20 00:00:00,gabrielaarenas@yahoo.com,SUDAFRICANA
19,Estela Marroquín Ortiz,1974-10-28 00:00:00,jloya@yahoo.com,ALEMANA
20,Ilse Alejandra Bustos,1981-11-16 00:00:00,cazarespatricia@hotmail.com,NIGERINA
21,Minerva Barrios Concepción,1978-04-08 00:00:00,wendolin75@yahoo.com,AUSTRALIANA
22,Elisa Cortez,1959-09-17 00:00:00,borregoalfonso@hotmail.com,ISRAELI
23,Lic. Concepción Palacios,1950-03-26 00:00:00,de-jesusyuridia@yahoo.com,NAURUANA
24,Juan Carlos Uriel Romero,1967-11-30 00:00:00,kcastaneda@gmail.com,BURKINA FASO
25,Ariadna Gaona Ledesma,1967-03-22 00:00:00,antoniohernadez@gmail.com,TUNECINA
26,Susana Caldera,1992-12-05 00:00:00,luz56@hotmail.com,GUINEA
27,Estefanía Ocampo Raya,2006-02-16 00:00:00,porfirio80@yahoo.com,ZAMBIANA
28,Augusto Carlos Gallardo,2008-07-16 00:00:00,menendezsilvano@gmail.com,INDONESA
29,José Luis Karla Valverde,1956-06-02 00:00:00,hector51@yahoo.com,KIRGUISTAN
